dataset,scene_id,frame_idx,predicted_confidence,predicted_std,actual_confidence,decision,is_audit_frame,source_json
kitti,2011_09_26_drive_0020_sync,0,0.773877,0.205729,0.815922,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,1,0.65276,0.20256,0.813389,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,2,0.655128,0.202228,0.814636,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,3,0.653288,0.202666,0.814639,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,4,0.667126,0.202106,0.831679,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,5,0.66614,0.202308,0.868711,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,6,0.688231,0.202471,0.869042,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,7,0.688379,0.202535,0.869097,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,8,0.689824,0.202248,0.869153,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,9,0.689623,0.202384,0.877333,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,10,0.701814,0.202385,0.855281,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,11,0.717372,0.201928,0.886961,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,12,0.718629,0.201621,0.887005,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,13,0.717476,0.202028,0.887018,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,14,0.716631,0.20252,0.878614,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,15,0.718567,0.201785,0.882032,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,16,0.731628,0.202038,0.880677,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,17,0.732164,0.201934,0.878638,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,18,0.732675,0.20186,0.884974,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,19,0.733026,0.201864,0.884628,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,20,0.733655,0.201772,0.895789,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,21,0.746207,0.202734,0.897073,FULL_DETECTION,False,output/kitti/kitti_inference.json
